"Sample","Test","Statistic","P_value","Conclusion"
"Full Sample","Breusch-Pagan Test",456.1737,0,"Reject H0 - Heteroskedasticity present"
"Full Sample","White Test",338.5111,0,"Reject H0 - Heteroskedasticity present"
"Full Sample","Jarque-Bera Test",102661.5214,0,"Reject H0 - Residuals not normal"
"Full Sample","Shapiro-Wilk Test (n=5000 sample)",0.9076,0,"Reject H0 - Residuals not normal"
"Full Sample","Multicollinearity - Max VIF (excl. age/age2)",1.613,NA,"No multicollinearity problem (VIF < 5)"
"Full Sample","Ramsey RESET Test",174.3717,0,"Reject H0 - Model misspecification detected"
"Subsample 1: Female","Breusch-Pagan Test",225.8442,0,"Reject H0 - Heteroskedasticity present"
"Subsample 1: Female","White Test",180.7728,0,"Reject H0 - Heteroskedasticity present"
"Subsample 1: Female","Jarque-Bera Test",122383.4297,0,"Reject H0 - Residuals not normal"
"Subsample 1: Female","Shapiro-Wilk Test (n=5000 sample)",0.9082,0,"Reject H0 - Residuals not normal"
"Subsample 1: Female","Multicollinearity - Max VIF (excl. age/age2)",1.5294,NA,"No multicollinearity problem (VIF < 5)"
"Subsample 1: Female","Ramsey RESET Test",123.6164,0,"Reject H0 - Model misspecification detected"
"Subsample 2: Male","Breusch-Pagan Test",259.8371,0,"Reject H0 - Heteroskedasticity present"
"Subsample 2: Male","White Test",161.7137,0,"Reject H0 - Heteroskedasticity present"
"Subsample 2: Male","Jarque-Bera Test",16117.7429,0,"Reject H0 - Residuals not normal"
"Subsample 2: Male","Shapiro-Wilk Test (n=5000 sample)",0.9463,0,"Reject H0 - Residuals not normal"
"Subsample 2: Male","Multicollinearity - Max VIF (excl. age/age2)",1.6978,NA,"No multicollinearity problem (VIF < 5)"
"Subsample 2: Male","Ramsey RESET Test",39.0422,0,"Reject H0 - Model misspecification detected"
