TINH,C3,C5,C17,C19,C30C,C31,C36,C39,C44A,C46A,C51,TTNT,Cal_weigh,HDKT,Region
1,1,59,8,1,1701,5,2,2,5500,48,4,1,165.5840101,1,2
1,1,59,8,1,1701,5,2,2,5500,48,4,1,165.5840101,1,2
1,1,15,3,1,2599,3,6,2,3600,48,4,2,87.54300894,1,2
1,1,21,3,2,3100,3,6,2,5000,63,4,2,87.54300894,1,2
1,2,26,5,1,2930,11,1,1,7000,48,4,2,83.42355685,1,2
1,1,23,4,1,2599,11,2,1,7500,48,4,2,87.54300894,1,2
1,2,37,4,1,3100,11,1,1,4700,48,4,2,83.42355685,1,2
1,1,19,5,2,2930,5,6,2,5000,48,4,2,87.54300894,1,2
1,2,41,4,2,2630,11,2,2,6000,48,4,2,83.42355685,1,2
1,1,48,5,1,1075,10,1,1,8500,48,4,2,114.7982484,1,2
1,2,44,6,1,1030,5,1,1,8000,48,4,2,113.6676939,1,2
1,2,45,7,1,1030,5,1,1,8000,48,4,2,113.6676939,1,2
1,2,22,5,2,2610,11,3,1,6000,56,4,2,136.5259555,1,2
1,2,38,4,4,2391,5,1,1,4000,48,4,2,122.6759144,1,2
1,2,41,4,2,1520,5,2,1,4300,55,4,2,122.6759144,1,2
1,2,42,4,2,1520,5,2,1,4400,55,4,2,122.6759144,1,2
1,1,21,5,2,2930,11,2,1,9400,60,4,2,128.7336464,1,2
1,2,42,4,2,1520,5,2,1,4700,55,4,2,122.6759144,1,2
1,2,43,5,3,1321,10,2,1,6000,40,4,1,184.7386571,1,2
1,2,44,5,3,1329,10,2,1,6500,40,4,1,184.7386571,1,2
1,1,44,5,3,1010,5,2,1,15000,40,4,1,173.2087848,1,2
1,2,30,4,2,2640,5,2,1,6000,48,4,2,136.2969399,1,2
1,2,30,4,2,2610,5,2,2,6000,48,4,2,136.2969399,1,2
1,2,36,4,2,1410,3,6,2,6000,48,4,2,136.2969399,1,2
