"Variable","Coefficient","Robust_SE","t_stat","p_value","Significance"
"(Intercept)",6.3852,0.0459,139.0746,0,"***"
"educ",0.0549,0.0036,15.2919,0,"***"
"age",0.0527,0.0018,29.5898,0,"***"
"age2",-7e-04,0,-28.4274,0,"***"
"hours",0.0149,6e-04,26.747,0,"***"
"male",0.1784,0.0055,32.1587,0,"***"
"cert",0.0492,0.0088,5.6154,0,"***"
"contract",0.0788,0.0062,12.7568,0,"***"
"state",-0.0391,0.0182,-2.1494,0.0316,"**"
"fdi",0.0945,0.0054,17.5988,0,"***"
"match",-0.041,0.0213,-1.9293,0.0537,"*"
"educxmatch",0.0251,0.0044,5.6501,0,"***"
"bhxh",0.1632,0.0066,24.8709,0,"***"
"R-squared",0.4081,,,,
"Adj. R-squared",0.4076,,,,
"F-statistic",945.438,,,0,
"N",16470,,,,
