"Variable","Full_Sample","Female","Male"
"(Intercept)","6.3852***
(0.046)","6.475***
(0.0593)","6.4668***
(0.0698)"
"educ","0.0549***
(0.0036)","0.0508***
(0.0048)","0.0563***
(0.0055)"
"age","0.0527***
(0.0018)","0.0493***
(0.0024)","0.0586***
(0.0026)"
"age2","-7e-04***
(0)","-7e-04***
(0)","-8e-04***
(0)"
"hours","0.0149***
(6e-04)","0.0149***
(7e-04)","0.0142***
(9e-04)"
"male","0.1784***
(0.0056)",,
"cert","0.0492***
(0.0088)","0.0607***
(0.0164)","0.0505***
(0.0104)"
"contract","0.0788***
(0.0062)","0.0745***
(0.0069)","0.0865***
(0.0114)"
"state","-0.0391**
(0.0182)","0.0011
(0.0239)","-0.0804***
(0.0268)"
"fdi","0.0945***
(0.0054)","0.0894***
(0.0063)","0.0949***
(0.0098)"
"match","-0.041*
(0.0213)","-0.0657**
(0.0277)","-0.0272
(0.0327)"
"educxmatch","0.0251***
(0.0044)","0.0279***
(0.0059)","0.0259***
(0.0067)"
"bhxh","0.1632***
(0.0066)","0.2084***
(0.0086)","0.1073***
(0.0102)"
"R-squared","0.4081","0.4288","0.3573"
"Adj. R-squared","0.4076","0.4281","0.3563"
"N","16470","9426","7044"
