"Test","Full_Statistic","Full_pvalue","Full_Conclusion","Female_Statistic","Female_pvalue","Female_Conclusion","Male_Statistic","Male_pvalue","Male_Conclusion"
"Breusch-Pagan Test (Heteroskedasticity)",456.174,0,"Detected -> Robust SE applied",225.844,0,"Detected -> Robust SE applied",259.837,0,"Detected -> Robust SE applied"
"White Test (Heteroskedasticity)",338.511,0,"Detected -> Robust SE applied",180.773,0,"Detected -> Robust SE applied",161.714,0,"Detected -> Robust SE applied"
"Shapiro-Wilk Test (Normality, n=5000)",0.9076,0,"Non-normal -> CLT applies (large N)",0.8824,0,"Non-normal -> CLT applies (large N)",0.9471,0,"Non-normal -> CLT applies (large N)"
"Jarque-Bera Test (Normality, full N)",102661.521,0,"Non-normal -> CLT applies (large N)",122383.43,0,"Non-normal -> CLT applies (large N)",16117.743,0,"Non-normal -> CLT applies (large N)"
"RESET Test (Model Specification)",174.372,0,"Possible misspecification",123.616,0,"Possible misspecification",39.042,0,"Possible misspecification"
"VIF - educ",2.807,,"OK",2.656,,"OK",3.049,,"OK"
"VIF - age",30.906,,"High - expected for quadratic term",27.875,,"High - expected for quadratic term",35.708,,"High - expected for quadratic term"
"VIF - age2",31.401,,"High - expected for quadratic term",28.635,,"High - expected for quadratic term",35.921,,"High - expected for quadratic term"
"VIF - match",14.45,,"High - expected for interaction term",15.024,,"High - expected for interaction term",14.004,,"High - expected for interaction term"
"VIF - educxmatch",17.387,,"High - expected for interaction term",17.656,,"High - expected for interaction term",17.279,,"High - expected for interaction term"
